"title","rate","cuisine","location","address","street","price_from","price_till","url"
"Suck My Duck",4.18,"China","Hang Lekir","MSL House","Jl. Hang Tuah Raya No. 8, Hang Lekir, Kebayoran Baru, Jakarta Selatan",100000,200000,"https://pergikuliner.com/restaurants/jakarta/suck-my-duck-hang-lekir"
"Raa Cha",4,"Thailand","Grogol","Mall Ciputra Jakarta, Lantai 5","Jl. Arteri S. Parman, Grogol, Jakarta Barat",50000,100000,"https://pergikuliner.com/restaurants/jakarta/raa-cha-grogol"
"Kaneki",4.11,"Kafe","Duren Sawit",,"Jl. H. Dogon Blok A2 No. 15, Duren Sawit, Jakarta Timur",0,50000,"https://pergikuliner.com/restaurants/jakarta/kaneki-duren-sawit"
"Colibri Cafe & Bakery",4.11,"Kafe","Pasir Koja",,"Jl. Terusan Pasir Koja No. 246, Pasir Koja, Bandung",50000,100000,"https://pergikuliner.com/restaurants/bandung/colibri-cafe-dan-bakery-pasir-koja"
"Altoro Spanish Gastrobar",4.13,"Spanyol","Dukuh Pakis",,"Jl. Raya Kupang Indah No. 3, Dukuh Pakis, Surabaya",100000,200000,"https://pergikuliner.com/restaurants/surabaya/altoro-spanish-gastrobar-dukuh-pakis"
"The Royal Kitchen",4.04,"India","Kuningan","Bellagio Boutique Mall, Lantai Ground, Kawasan Mega Kuningan","Jl. Lingkar Mega Kuningan, Kuningan, Jakarta Selatan",100000,200000,"https://pergikuliner.com/restaurants/jakarta/the-royal-kitchen-kuningan"
"Many Pany Pancake & Waffle",4.04,"Dessert","Genteng","Aiola Eatery","Jl. Slamet No. 16, Genteng, Surabaya",0,50000,"https://pergikuliner.com/restaurants/surabaya/many-pany-pancake-dan-waffle-genteng"
"Matcha Bae",4.12,"Kafe","Kelapa Gading",,"Jl. Kelapa Hibrida Raya Blok QJ9 No. 37, Kelapa Gading, Jakarta Utara",0,50000,"https://pergikuliner.com/restaurants/jakarta/matcha-bae-kelapa-gading"
"Jin Mu Dumpling Restaurant",4.03,"China","Puri","St Moritz Mall (Lippo Mall Puri), Lantai 1","Jl. Puri Indah Boulevard Blok U1, Puri, Jakarta Barat",50000,100000,"https://pergikuliner.com/restaurants/jakarta/jin-mu-dumpling-restaurant-puri"
"Kimukatsu",4.14,"Jepang","Mulyorejo","Galaxy Mall 1, Lantai 2","Jl. Dharmahusada Indah Timur No. 35 - 37, Mulyorejo, Surabaya",50000,100000,"https://pergikuliner.com/restaurants/surabaya/kimukatsu-mulyorejo"
"Ai Ci Ro",4.4,"Snack","Wonokromo","Royal Plaza, Lantai 3, Studio Food Court","Jl. Jend. A. Yani No. 16 - 18, Wonokromo, Surabaya",0,50000,"https://pergikuliner.com/restaurants/surabaya/ai-ci-ro-wonokromo"
"Northsider Coffee Roaster",3.99,"Kafe","Pantai Indah Kapuk","Ruko Elang Laut, Blok B2 No. 15","Jl. Pantai Indah Selatan I, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",50000,100000,"https://pergikuliner.com/restaurants/jakarta/northsider-coffee-roaster-pantai-indah-kapuk"
"Lamian Palace",4,"China","Karawaci","MaxxBox Lippo Village, Lantai Ground","Jl. Boulevard Jendral Sudirman, Karawaci, Tangerang",50000,100000,"https://pergikuliner.com/restaurants/tangerang/lamian-palace-karawaci"
"Nasi Kapau Langganan",4.16,"Indonesia","Kemang",,"Jl. Bangka Raya No. 103A, Kemang, Jakarta Selatan",0,50000,"https://pergikuliner.com/restaurants/jakarta/nasi-kapau-langganan-kemang"
"Abura Soba Yamatoten",3.95,"Jepang","Senayan","Senayan City, Lantai Lower Ground","Jl. Asia Afrika, Senayan, Jakarta Selatan",50000,100000,"https://pergikuliner.com/restaurants/jakarta/abura-soba-yamatoten-senayan"
"Pizza Hut",3.97,"","Kebon Jeruk",,"Jl. Panjang, Kebon Jeruk, Jakarta Barat",50000,100000,"https://pergikuliner.com/restaurants/jakarta/pizza-hut-kebon-jeruk"
"Shaburi & Kintan Buffet",4.03,"Jepang","Karawaci","Supermal Karawaci, Lantai Upper Ground","Jl. Boulevard Diponegoro No. 105, Karawaci, Tangerang",200000,,"https://pergikuliner.com/restaurants/tangerang/shaburi-dan-kintan-buffet-karawaci"
